president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,3/18/2018,41.56427,46.05385,37.07469,53.64494,57.89481,49.39507,3/18/2018 11:47
Donald Trump,All polls,3/18/2018,40.5158,44.98062,36.05098,53.84089,57.9697,49.71209,3/18/2018 11:46
Donald Trump,Adults,3/17/2018,39.40322,42.87506,35.93137,54.20784,58.46326,49.95242,3/18/2018 11:47
Donald Trump,All polls,3/17/2018,40.24184,44.76358,35.7201,53.87739,58.09512,49.65967,3/18/2018 11:46
Donald Trump,Voters,3/17/2018,41.56427,46.05385,37.07469,53.64494,57.89481,49.39507,3/18/2018 11:47
Donald Trump,Adults,3/16/2018,39.40322,42.87506,35.93137,54.20784,58.46326,49.95242,3/16/2018 15:13
Donald Trump,Voters,3/16/2018,41.56427,46.05385,37.07469,53.64494,57.89481,49.39507,3/16/2018 15:13
Donald Trump,All polls,3/16/2018,40.24184,44.76358,35.7201,53.87739,58.09512,49.65967,3/16/2018 15:13
Donald Trump,Voters,3/15/2018,42.00203,46.33103,37.67303,53.18635,57.17131,49.20139,3/15/2018 21:34
Donald Trump,Adults,3/15/2018,39.79709,43.27942,36.31475,53.7982,58.00588,49.59053,3/15/2018 21:34
Donald Trump,All polls,3/15/2018,40.46296,44.89322,36.03271,53.65602,57.8201,49.49195,3/15/2018 21:34
Donald Trump,Voters,3/14/2018,41.90339,46.21532,37.59145,53.29808,57.33239,49.26378,3/14/2018 10:14
Donald Trump,Adults,3/14/2018,39.64307,43.10952,36.17662,54.28221,58.70884,49.85558,3/14/2018 10:14
Donald Trump,All polls,3/14/2018,40.42437,44.93805,35.91068,53.99303,58.3152,49.67086,3/14/2018 10:14
Donald Trump,Voters,3/13/2018,42.08287,46.50375,37.66198,53.00063,57.15771,48.84354,3/13/2018 15:49
Donald Trump,Adults,3/13/2018,39.73454,43.22737,36.2417,54.20818,58.65186,49.76451,3/13/2018 15:49
Donald Trump,All polls,3/13/2018,40.52831,45.02388,36.03274,53.88568,58.26931,49.50204,3/13/2018 15:49
Donald Trump,Voters,3/12/2018,41.94425,46.37898,37.50953,52.77081,56.98238,48.55925,3/12/2018 15:24
Donald Trump,Adults,3/12/2018,40.034,43.59299,36.47501,53.53506,58.09439,48.97573,3/12/2018 15:24
Donald Trump,All polls,3/12/2018,40.65869,45.17205,36.14533,53.42641,57.93153,48.92129,3/12/2018 15:24
Donald Trump,Adults,3/11/2018,40.05423,43.63409,36.47437,53.49677,58.09981,48.89373,3/12/2018 13:28
Donald Trump,Voters,3/11/2018,41.95938,46.36271,37.55604,52.77974,56.96447,48.59501,3/12/2018 13:28
Donald Trump,All polls,3/11/2018,40.67968,45.20671,36.15265,53.42613,57.97424,48.87802,3/12/2018 13:27
Donald Trump,All polls,3/10/2018,40.67968,45.20671,36.15265,53.42613,57.97424,48.87802,3/12/2018 13:28
Donald Trump,Voters,3/10/2018,41.95938,46.36271,37.55604,52.77974,56.96447,48.59501,3/12/2018 13:29
Donald Trump,Adults,3/10/2018,40.05423,43.63409,36.47437,53.49677,58.09981,48.89373,3/12/2018 13:28
Donald Trump,Voters,3/9/2018,41.95938,46.36271,37.55604,52.77974,56.96447,48.59501,3/9/2018 16:36
Donald Trump,Adults,3/9/2018,40.05423,43.63409,36.47437,53.49677,58.09981,48.89373,3/9/2018 16:36
Donald Trump,All polls,3/9/2018,40.67968,45.20671,36.15265,53.42613,57.97424,48.87802,3/9/2018 16:36
Donald Trump,Voters,3/8/2018,41.92076,46.46578,37.37574,52.98934,57.28347,48.69521,3/8/2018 19:05
Donald Trump,Adults,3/8/2018,39.85278,43.53521,36.17035,53.78379,58.5656,49.00199,3/8/2018 19:05
Donald Trump,All polls,3/8/2018,40.62883,45.3099,35.94776,53.62344,58.28907,48.9578,3/8/2018 19:05
Donald Trump,Adults,3/7/2018,39.14234,42.74504,35.53964,54.50154,59.1605,49.84258,3/7/2018 13:46
Donald Trump,Voters,3/7/2018,41.3746,46.08529,36.66392,53.73106,57.80843,49.65369,3/7/2018 13:46
Donald Trump,All polls,3/7/2018,40.2174,45.06957,35.36523,54.10192,58.72217,49.48167,3/7/2018 13:46
Donald Trump,Voters,3/6/2018,42.36044,47.24092,37.47996,53.10275,57.57113,48.63437,3/6/2018 15:58
Donald Trump,Adults,3/6/2018,39.08385,42.9035,35.2642,54.47271,59.09484,49.85057,3/6/2018 15:58
